symbol,name,underlyingIndexName,legacyAssetClass,assetClass,legacySectorCode,sectorCode,region,stockSectorCode,rotationSource,marketSource,peerGroup,basis,confidence
266360,KODEX K콘텐츠,KRX K콘텐츠,equity,equity,TELCO_MEDIA,TELCO_MEDIA,KR,TELCO_MEDIA,domestic_stock_sector,domestic_stock_sector,KR:TELCO_MEDIA,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
266370,KODEX IT,KRX 정보기술,equity,equity,IT_HW,IT_HW,KR,IT_HW,domestic_stock_sector,domestic_stock_sector,KR:IT_HW,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
266390,KODEX 경기소비재,KRX 경기소비재,equity,equity,CONSUMER,CONSUMER,KR,CONSUMER,domestic_stock_sector,domestic_stock_sector,KR:CONSUMER,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
266410,KODEX 필수소비재,KRX 필수소비재,equity,equity,CONSUMER,CONSUMER,KR,CONSUMER,domestic_stock_sector,domestic_stock_sector,KR:CONSUMER,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
267440,RISE 미국장기국채선물(H),S&P U.S. Treasury Bond Futures Excess Return Index,bond_cash,bond_cash,MARKET_IDX,BOND_CASH,US,,excluded_nonplain_equity,not_researched,US:BOND_CASH,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
267450,RISE 미국장기국채선물인버스(H),S&P U.S. Treasury Bond Futures Excess Return Index,leveraged_inverse,leveraged_inverse,MARKET_IDX,MARKET_IDX,US,,excluded_nonplain_equity,not_researched,US:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
267770,TIGER 200선물레버리지,코스피 200 선물지수,leveraged_inverse,leveraged_inverse,MARKET_IDX,MARKET_IDX,KR,,excluded_nonplain_equity,not_researched,KR:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
269420,KODEX S&P글로벌인프라(합성),S&P Global Infrastructure Index,reit_infra,equity,CONSTRUCT,INFRA_EQUITY,GLOBAL,,not_applicable_no_compatible_stock_sector,own_underlying_regime,GLOBAL:INFRA_EQUITY,symbol_override_from_name_index,semantic_mapping_not_constituent_verified
270800,RISE KQ고배당,FnGuide KQ고배당포커스 지수,equity,equity,MARKET_IDX,MARKET_IDX,KR,,not_applicable_no_compatible_stock_sector,own_underlying_regime,KR:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
270810,RISE 코스닥150,코스닥 150,equity,equity,MARKET_IDX,MARKET_IDX,KR,,not_applicable_no_compatible_stock_sector,own_underlying_regime,KR:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
271050,KODEX WTI원유선물인버스(H),S&P GSCI Crude Oil Index ER,leveraged_inverse,leveraged_inverse,MARKET_IDX,MARKET_IDX,US,,excluded_nonplain_equity,not_researched,US:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
271060,KODEX 3대농산물선물(H),S&P GSCI Grains Select Index ER,commodity_fx,commodity_fx,MARKET_IDX,COMMODITY_FX,US,,excluded_nonplain_equity,not_researched,US:COMMODITY_FX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
272560,RISE 단기국공채액티브,KIS 종합채권국공채3M~1.5Y지수,bond_cash,bond_cash,ETC,BOND_CASH,KR,,excluded_nonplain_equity,not_researched,KR:BOND_CASH,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
272570,RISE 중장기국공채액티브,KIS 종합채권국공채4~5Y지수,bond_cash,bond_cash,ETC,BOND_CASH,KR,,excluded_nonplain_equity,not_researched,KR:BOND_CASH,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
272580,TIGER 단기채권액티브,KIS MSB 6M PLUS 지수,bond_cash,bond_cash,MARKET_IDX,BOND_CASH,KR,,excluded_nonplain_equity,not_researched,KR:BOND_CASH,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
